Z,N,AME2003,AME2003_sd,AME2016,AME2016_sd,JYFLTRAP2017,JYFLTRAP2017_sd,TRIUMF2018,TRIUMF2018_sd,RIKEN2018,RIKEN2018_sd,SKM*,SKP,SLY4,SVMIN,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
12,41,*,*,*,*,*,*,*,*,*,*,-4.413805,-3.628274,-4.142344,-3.246088,-2.703111,-2.555403,*,-5.08,*
12,43,*,*,*,*,*,*,*,*,*,*,-1.506008,-3.894827,-4.042738,-3.155855,-2.683099,-2.660384,*,-2.99,*
12,45,*,*,*,*,*,*,*,*,*,*,-3.231065,-4.042908,-4.401798,-3.43402,-2.642725,-2.758645,*,-4.83,*
12,47,*,*,*,*,*,*,*,*,*,*,-3.414394,-4.138722,-4.557942,-3.32166,-2.724721,-2.719596,*,-5.4,*
12,49,*,*,*,*,*,*,*,*,*,*,-3.451259,-4.168003,-4.603016,-3.384114,-2.853724,-2.655332,*,*,*
12,51,*,*,*,*,*,*,*,*,*,*,-3.378208,-4.431226,-4.612155,-3.623486,-3.16661,-2.999646,*,*,*
14,3,*,*,*,*,*,*,*,*,*,*,23.260461,24.151788,23.875675,22.000565,23.385444,21.858734,*,*,*
14,5,*,*,*,*,*,*,*,*,*,*,24.558714,25.237235,24.970858,23.916757,25.228355,24.967939,25.136709,*,*
14,7,*,*,*,*,*,*,*,*,*,*,20.147753,21.07784,21.062792,20.700548,20.807327,21.974508,22.100112,*,*
14,9,*,*,*,*,*,*,*,*,*,*,14.680589,15.065661,14.902062,15.123931,16.024069,16.04241,15.559605,17.83,19.51
14,11,15.00167,0.02189,14.98919,0.02189,*,*,*,*,*,*,13.958443,13.559439,13.710365,13.898395,14.530773,14.755782,14.426803,14.55,14.63
14,13,13.31099,0.003,13.3148,0.00015,*,*,*,*,*,*,12.33567,11.945758,11.652097,11.917659,12.766772,12.595224,12.540888,12.4,14.01
14,15,8.47357,2e-05,8.4736,0.0,*,*,*,*,*,*,9.280591,9.381144,8.96315,9.243757,9.578778,9.474023,9.101342,7.4,9.28
14,17,6.5874,3e-05,6.58739,4e-05,*,*,*,*,*,*,5.935049,6.516928,6.402279,6.598267,6.439509,6.776051,6.270984,6.46,5.77
14,19,4.48307,0.01579,4.50796,0.00076,*,*,*,*,*,*,4.879936,4.785657,4.888132,5.008579,5.079051,5.126724,5.125804,4.8,3.97
14,21,2.47485,0.04092,2.50592,0.03854,*,*,*,*,*,*,3.630291,2.949327,2.459429,2.823523,3.216737,2.627776,2.248238,3.35,1.92
14,23,2.16881,0.20901,2.2067,0.13456,*,*,*,*,*,*,3.290107,2.284126,2.22424,2.41129,2.550667,2.543682,2.388973,1.77,1.47
14,25,2.07584,0.3649,1.58067,0.17132,*,*,*,*,*,*,2.634726,1.641522,1.45242,1.724073,1.947735,1.681707,1.484559,1.65,0.58
14,27,*,*,1.38133,0.6533,*,*,*,*,*,*,2.179804,1.137787,0.873818,1.274819,1.524767,1.418108,1.201824,2.37,0.39
14,29,*,*,*,*,*,*,*,*,*,*,1.204673,0.335377,-0.105377,0.460627,0.801857,0.495579,0.344709,-1.37,0.7
14,31,*,*,*,*,*,*,*,*,*,*,0.787353,-0.075229,-0.794656,0.111759,0.71344,0.230859,0.284503,-1.27,-0.61
14,33,*,*,*,*,*,*,*,*,*,*,-0.595073,-1.269035,-1.559422,-0.756153,-0.249898,-0.356002,-1.077114,-1.58,-1.11
14,35,*,*,*,*,*,*,*,*,*,*,-2.386404,-2.62982,-2.880696,-2.207633,-1.789801,-2.342356,-2.952311,-2.32,-0.8
14,37,*,*,*,*,*,*,*,*,*,*,-2.660335,-3.181381,-3.198565,-2.555336,-1.923009,-2.353889,-2.937888,-2.45,*
14,39,*,*,*,*,*,*,*,*,*,*,-2.545804,-3.390315,-3.470991,-2.762285,-2.146215,-2.35349,*,-2.85,*
14,41,*,*,*,*,*,*,*,*,*,*,-2.313407,-3.377159,-3.862686,-2.96535,-2.410238,-2.238581,*,-3.39,*
14,43,*,*,*,*,*,*,*,*,*,*,-2.392246,-3.37577,-3.871352,-2.988967,-2.507763,-2.350473,*,-3.54,*
14,45,*,*,*,*,*,*,*,*,*,*,-2.495258,-3.578777,-3.859525,-3.01429,-2.530975,-2.404564,*,-2.97,*
14,47,*,*,*,*,*,*,*,*,*,*,-2.472621,-3.569275,-4.0426,-3.043155,-2.616813,-2.40715,*,-3.62,*
14,49,*,*,*,*,*,*,*,*,*,*,-2.673464,-3.656046,-3.880272,-2.961914,-2.571566,-2.382227,*,-4.03,*
14,51,*,*,*,*,*,*,*,*,*,*,-2.818254,-3.803803,-4.07097,-3.100289,-2.663223,-2.511066,*,-8.82,*
14,53,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,-5.15,*
16,3,*,*,*,*,*,*,*,*,*,*,24.417532,24.893332,24.760723,22.855794,24.007814,22.468547,*,*,*
16,5,*,*,*,*,*,*,*,*,*,*,26.811979,27.418283,27.362897,26.069137,26.998917,26.710308,*,*,*
16,7,*,*,*,*,*,*,*,*,*,*,22.512771,23.666819,23.698769,23.070658,23.144633,24.294398,24.481574,*,*
16,9,*,*,*,*,*,*,*,*,*,*,16.841072,17.580836,17.416174,17.425102,18.337903,18.078782,17.608569,19.65,19.0
16,11,*,*,*,*,*,*,*,*,*,*,16.097399,16.156071,16.064809,16.129488,17.044985,17.111921,16.849969,16.59,15.25
16,13,15.3041,0.16763,15.30094,0.16763,*,*,*,*,*,*,14.696925,14.411919,14.205889,14.480188,15.298212,15.410179,15.284464,14.94,14.93
16,15,13.05343,0.00335,13.05459,0.00031,*,*,*,*,*,*,11.427878,11.653826,11.11379,11.633422,12.032038,12.237267,11.771178,12.23,14.44
16,17,8.64161,3e-05,8.64164,0.0,*,*,*,*,*,*,8.160044,8.928863,8.792201,8.940306,8.752025,9.336276,8.879687,8.23,6.86
16,19,6.98588,4e-05,6.98584,4e-05,*,*,*,*,*,*,6.958123,7.046786,7.193679,7.197905,7.273512,7.537307,7.518041,7.12,6.66
16,21,4.3036,6e-05,4.3036,6e-05,*,*,*,*,*,*,5.502056,5.005615,4.561574,4.901723,5.304527,4.768516,4.350808,5.19,4.16
16,23,4.37236,0.05051,4.37278,0.05051,*,*,*,*,*,*,4.849982,4.010378,4.141656,4.151979,4.31597,4.450771,4.623352,4.08,3.65
16,25,4.22385,0.18426,4.24205,0.00571,*,*,*,*,*,*,4.622113,3.503673,3.518051,3.606155,3.821615,3.560797,3.44701,3.58,3.32
16,27,2.35905,0.2371,2.62903,0.0057,*,*,*,*,*,*,3.650607,2.794125,2.382209,2.77113,3.085942,2.770926,2.633491,2.66,2.81
16,29,2.20782,1.78649,2.85667,1.03537,*,*,*,*,*,*,2.813038,2.071774,1.547787,2.005242,2.566989,2.049993,1.93699,1.43,2.31
16,31,*,*,*,*,*,*,*,*,*,*,2.047089,1.365343,0.551472,1.505906,1.932971,1.5716,1.444956,0.37,0.56
16,33,*,*,*,*,*,*,*,*,*,*,0.367067,-0.033562,-0.337896,0.21362,0.633178,0.471891,-0.339085,0.04,-0.21
16,35,*,*,*,*,*,*,*,*,*,*,-1.166881,-1.301361,-1.500923,-0.969079,-0.653691,-1.143371,-1.821826,-1.09,-2.65
16,37,*,*,*,*,*,*,*,*,*,*,-1.527156,-1.893496,-1.828302,-1.366125,-0.855521,-1.370661,-1.950578,-1.77,-2.04
16,39,*,*,*,*,*,*,*,*,*,*,-1.453306,-2.369477,-2.326482,-1.87026,-1.325203,-1.690801,-2.064877,-1.92,*
16,41,*,*,*,*,*,*,*,*,*,*,-1.215344,-2.728064,-3.22612,-2.483602,-2.032634,-1.990529,-2.039287,-2.71,*
16,43,*,*,*,*,*,*,*,*,*,*,-1.457166,-2.4914,-2.912779,-2.240429,-1.970607,-1.684775,-2.090661,-2.87,*
16,45,*,*,*,*,*,*,*,*,*,*,-1.731156,-2.801768,-2.962479,-2.291522,-1.941385,-1.937943,-2.341749,-2.74,*
16,47,*,*,*,*,*,*,*,*,*,*,-1.972545,-3.05152,-3.265845,-2.513134,-2.141913,-2.097319,-2.540163,-2.98,*
16,49,*,*,*,*,*,*,*,*,*,*,-2.154101,-3.142699,-3.502613,-2.538502,-2.192071,-1.949676,-2.322351,-2.97,*
16,51,*,*,*,*,*,*,*,*,*,*,-2.23884,-3.20004,-3.471281,-2.561068,-2.179158,-2.082734,*,-3.38,*
16,53,*,*,*,*,*,*,*,*,*,*,-2.213299,-3.385382,-3.622911,-2.731578,-2.317208,-2.223357,*,-4.4,*
16,55,*,*,*,*,*,*,*,*,*,*,-2.363293,-3.523266,-3.757793,-2.889725,-2.462246,-2.365078,*,-3.88,*
16,57,*,*,*,*,*,*,*,*,*,*,-2.363038,-3.592303,-3.833838,-2.963955,-2.562284,-2.441939,*,-4.76,*
16,59,*,*,*,*,*,*,*,*,*,*,-2.298258,-3.447638,-3.638181,-2.740854,-2.29445,-2.451161,*,-4.24,*
16,61,*,*,*,*,*,*,*,*,*,*,-2.873108,-3.758307,-3.929347,-3.091392,-2.726419,-2.573255,*,*,*
16,63,*,*,*,*,*,*,*,*,*,*,-3.48607,-4.002173,-4.280104,-3.578585,-3.289953,-3.107789,*,*,*
18,3,*,*,*,*,*,*,*,*,*,*,24.398866,24.907725,24.922631,23.044799,24.06994,22.676207,*,*,*
18,5,*,*,*,*,*,*,*,*,*,*,27.457322,28.221942,28.263032,26.846763,27.706691,27.167198,*,*,*
18,7,*,*,*,*,*,*,*,*,*,*,24.334883,25.658896,25.832023,24.838055,24.782053,25.713855,*,*,*
18,9,*,*,*,*,*,*,*,*,*,*,18.695614,19.695972,19.626509,19.437129,20.135459,20.063166,19.702761,*,*
18,11,*,*,*,*,*,*,*,*,*,*,18.140945,18.445307,18.396782,18.293257,19.122282,19.314439,19.118694,19.77,18.47
18,13,*,*,*,*,*,*,*,*,*,*,16.830285,17.835121,16.552793,16.736138,17.501029,17.833391,17.754748,17.5,18.04
18,15,15.25525,0.00181,15.25526,0.00181,*,*,*,*,*,*,13.606846,15.10784,13.438252,13.923777,14.226094,14.705813,14.269183,14.63,15.45
18,17,12.74151,0.00084,12.74031,0.00068,*,*,*,*,*,*,10.679913,11.395639,11.316845,11.376347,11.196029,12.04549,11.560949,12.27,12.07
18,19,8.78744,0.00021,8.78744,0.00021,*,*,*,*,*,*,9.273697,9.413003,9.579187,9.552475,9.600196,10.127605,10.144313,9.55,9.02
18,21,6.59878,0.00501,6.59869,0.005,*,*,*,*,*,*,7.50447,7.12267,6.704737,7.028197,7.470599,7.02245,6.683751,7.31,5.51
18,23,6.09889,0.00033,6.09893,0.00035,*,*,*,*,*,*,6.806913,6.03094,5.881481,6.031306,6.453546,6.168713,6.279502,5.71,5.66
18,25,5.65845,0.00785,5.65845,0.00785,*,*,*,*,*,*,6.367978,5.317207,5.324523,5.354724,5.640905,5.477401,5.52486,4.6,3.83
18,27,5.16885,0.00166,5.16886,0.00166,*,*,*,*,*,*,5.51075,4.519973,4.372075,4.548144,4.880428,4.601961,4.684504,4.56,4.75
18,29,4.25903,0.10796,3.66473,0.00158,*,*,*,*,*,*,4.270316,3.789505,3.059564,3.7102,4.178561,3.772109,3.770662,2.82,3.83
