Z,N,2003,2003_sd,2016,2016_sd,2017,2017_sd,2018,2018_sd,SKM*,SKP,SLY4,SVMIN,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
17,44,*,*,*,*,*,*,*,*,*,-1.576876,-2.57544,-1.536998,-1.43888,-1.230699,*,-2.47,-0.83
17,46,*,*,*,*,*,*,*,*,*,-1.889923,-2.324706,-1.448312,-1.31735,-1.428265,*,-2.29,-1.47
17,48,*,*,*,*,*,*,*,*,-0.43398,-2.458548,-3.055642,-1.9344,-1.746331,-1.663251,*,-2.42,*
17,50,*,*,*,*,*,*,*,*,-0.728152,-2.544921,-3.63782,-2.050148,-1.809616,-1.504375,*,-4.09,*
17,52,*,*,*,*,*,*,*,*,-0.951268,-2.937492,-3.610553,-2.209476,-1.947232,-1.880443,*,-5.03,*
17,54,*,*,*,*,*,*,*,*,-1.431587,-3.472907,-4.186654,-2.693822,-2.328262,-2.273116,*,-4.75,*
17,56,*,*,*,*,*,*,*,*,-2.04661,-3.858269,-4.792437,-3.143593,-2.712801,-2.645633,*,-5.18,*
17,58,*,*,*,*,*,*,*,*,-1.881404,-3.849636,-4.668764,-3.077452,-2.702691,-2.783272,*,-7.24,*
17,60,*,*,*,*,*,*,*,*,-2.259574,-4.006116,-4.764599,-2.844192,-2.286157,-2.399951,*,-7.98,*
17,62,*,*,*,*,*,*,*,*,-3.589981,-4.960098,-5.723886,-3.827025,-3.231458,-2.989742,*,-9.07,*
17,64,*,*,*,*,*,*,*,*,-5.349727,-5.818803,-7.040704,-5.41777,-5.016601,-4.753997,*,*,*
19,18,29.77393,0.02,29.76994,0.00052,*,*,*,*,*,*,*,*,*,*,*,*,*
19,20,25.14945,0.00021,25.14963,9e-05,*,*,*,*,*,*,*,*,*,*,*,*,*
19,22,17.8947,0.0001,17.89499,1e-05,*,*,*,*,*,*,*,*,*,*,*,*,*
