N	Z	A	EL	MASS EXCESS	BINDING ENERGY/A
				(keV)		(keV)
29	14	43	Si	26697#	699#	7196#	16#
28	15	43	P	5765.948	968.754	7664.314	22.529
27	16	43	S	-11965.235	201.953	8058.473	4.697
26	17	43	Cl	-24168.168	157.377	8324.068	3.66
25	18	43	Ar	-32009.808	5.31	8488.237	0.123
24	19	43	K	-36593.239	8.949	8576.635	0.208
23	20	43	Ca	-38408.639	0.301	8600.659	0.007
22	21	43	Sc	-36187.929	1.874	8530.821	0.044
21	22	43	Ti	-29321.103	6.903	8352.933	0.161
20	23	43	V	-18024#	233#	8072#	5#
19	24	43	Cr	-2133#	219#	7684#	5#
30	14	44	Si	32844#	801#	7076#	18#
29	15	44	P	12100#	699#	7530#	16#
28	16	44	S	-9116.168	394.541	7994.013	8.967
27	17	44	Cl	-20231.052	108.028	8228.843	2.455
26	18	44	Ar	-32673.053	1.595	8493.836	0.036
25	19	44	K	-35809.606	35.779	8547.34	0.813
24	20	44	Ca	-41468.479	0.376	8658.17	0.009
23	21	44	Sc	-37816.093	1.767	8557.381	0.04
22	22	44	Ti	-37548.459	0.731	8533.518	0.017
21	23	44	V	-24116.38	121.094	8210.463	2.752
20	24	44	Cr	-13461#	50#	7951#	1#
19	25	44	Mn	6399#	503#	7481#	11#
30	15	45	P	17903#	801#	7413#	18#
29	16	45	S	-3252.672	1742.377	7865.431	38.719
28	17	45	Cl	-18362.647	123.756	8183.823	2.75
27	18	45	Ar	-29770.589	0.547	8419.947	0.012
26	19	45	K	-36608.186	10.256	8554.508	0.228
25	20	45	Ca	-40811.95	0.412	8630.54	0.009
24	21	45	Sc	-41067.792	0.837	8618.84	0.019
23	22	45	Ti	-39005.737	0.98	8555.631	0.022
22	23	45	V	-31879.629	17.029	8379.887	0.378
21	24	45	Cr	-18965.218	503.007	8075.515	11.178
20	25	45	Mn	-5114#	298#	7750#	7#
19	26	45	Fe	13579#	222#	7318#	5#
31	15	46	P	25504#	904#	7262#	20#
30	16	46	S	699#	699#	7784#	15#
29	17	46	Cl	-14708.253	717.339	8101.934	15.594
28	18	46	Ar	-29720.127	40.891	8411.271	0.889
27	19	46	K	-35418.323	15.546	8518.137	0.338
26	20	46	Ca	-43135.077	2.276	8668.885	0.049
25	21	46	Sc	-41757.115	0.844	8621.922	0.018
24	22	46	Ti	-44123.422	0.833	8656.356	0.018
23	23	46	V	-37073.013	1.027	8486.079	0.022
22	24	46	Cr	-29473.742	19.995	8303.87	0.435
21	25	46	Mn	-12370#	112#	7915#	2#
20	26	46	Fe	755#	354#	7613#	8#
31	16	47	S	8002#	801#	7635#	17#
30	17	47	Cl	-10517#	596#	8012#	13#
