N	Z	A	EL	MASS EXCESS       BINDING ENERGY/A
				(keV)		(keV)	
25	30	55	Zn	-14570#	400#	7909#	7#
37	19	56	K	7927#	801#	7664#	14#
36	20	56	Ca	-13898#	400#	8040#	7#
35	21	56	Sc	-24852.26	586.841	8221.728	10.479
34	22	56	Ti	-39320.048	121.247	8466.11	2.165
33	23	56	V	-46154.881	176.898	8574.191	3.159
32	24	56	Cr	-55285.001	0.603	8723.258	0.011
31	25	56	Mn	-56911.538	0.331	8738.333	0.006
30	26	56	Fe	-60607.082	0.302	8790.354	0.005
29	27	56	Co	-56040.402	0.493	8694.836	0.009
28	28	56	Ni	-53907.539	0.422	8642.779	0.008
27	29	56	Cu	-38643.029	14.904	8356.227	0.266
26	30	56	Zn	-25390#	400#	8106#	7#
25	31	56	Ga	-3390#	500#	7699#	9#
37	20	57	Ca	-6874#	400#	7917#	7#
36	21	57	Sc	-20995.875	1304.092	8151.433	22.879
35	22	57	Ti	-33915.633	256.417	8364.37	4.499
34	23	57	V	-44413.45	80.479	8534.817	1.412
33	24	57	Cr	-52524.702	1.068	8663.394	0.019
32	25	57	Mn	-57486.251	1.505	8736.713	0.026
31	26	57	Fe	-60181.839	0.304	8770.279	0.005
30	27	57	Co	-59345.564	0.533	8741.882	0.009
29	28	57	Ni	-56083.833	0.582	8670.933	0.01
28	29	57	Cu	-47308.886	0.519	8503.262	0.009
27	30	57	Zn	-32550#	200#	8231#	4#
26	31	57	Ga	-15010#	400#	7909#	7#
38	20	58	Ca	-1919#	500#	7835#	9#
37	21	58	Sc	-14876#	400#	8045#	7#
36	22	58	Ti	-31110#	200#	8311#	3#
35	23	58	V	-40401.753	89.374	8457.658	1.541
