Z    N    SKM*(MeV)         SKP(MeV)          SLY4(MeV)         SVMIN(MeV)        UNEDF0(MeV)       UNEDF1(MeV)       DDME2(MeV)        DDMEd(MeV)        DDPC1(MeV)        NL3*(MeV)         
50   58   0.419887          -0.497501         -0.710989         -0.44264          0.415627          -0.541854         0.30758           0.18858           -0.43042          1.30258           
50   60   -0.435902         -0.776285         -0.676053         -0.615083         0.121843          -0.515688         0.2955            0.2685            -0.3255           1.2845            
50   62   -1.113758         -0.878892         -0.47095          -0.62216          0.019313          -0.367284         0.78578           0.53578           0.11978           1.34578           
50   64   -1.643841         -0.765349         -0.213447         -0.516519         0.100434          -0.193274         1.23668           0.42768           0.61868           1.23368           
50   66   -2.039208         -0.384737         0.272973          -0.166049         0.416532          0.16905           1.41489           0.26889           0.64089           1.11889           
50   68   -2.237009         -0.033703         1.218839          0.367992          0.795972          0.640952          1.39439           0.24439           0.64639           1.10139           
50   70   -2.163538         0.031347          1.564573          0.600213          0.879114          1.196265          1.40254           0.21854           0.87554           1.07554           
50   72   -1.755063         0.041867          1.491585          0.506429          0.833095          1.154504          1.37817           0.12017           0.54017           0.97217           
50   74   -0.941257         0.02292           1.515326          0.523368          0.836694          1.183161          1.22963           0.09463           0.50263           0.94363           
50   76   -0.513037         -0.299631         1.292281          0.22986           0.624408          0.903665          1.28939           -0.17961          0.20839           0.67939           
50   78   -0.226132         -0.490409         1.104664          -0.011812         0.469717          0.763987          1.23888           -0.34612          0.01788           0.54388           
50   80   -0.670261         -0.806516         0.764948          -0.36076          0.119504          0.458962          1.04811           -0.65989          -0.05189          0.29311           
50   82   -1.393041         -1.48823          0.146773          -1.012219         -0.498336         -0.139907         0.15984           -1.45716          -0.93616          -0.18816          
52   54   *                 -1.055278         -1.158181         *                 -0.576425         -0.350542         *                 -0.50774          -0.84674          *                 
52   56   -2.571575         -0.805087         -0.327444         -0.572828         -0.571156         0.430136          -0.66267          -0.27567          -0.33967          -0.79267          
52   58   -2.36891          -0.89849          -0.330516         -0.571924         -0.455861         0.316925          -1.17308          -0.70008          -0.85608          -1.06808          
52   60   -1.323268         -0.422179         -0.238559         -0.177777         0.073903          0.729251          -1.18832          -0.56832          -0.95632          -0.88932          
52   62   -0.831999         -0.658008         -0.665697         -0.520696         -0.194024         0.769917          -1.92824          -0.81624          -1.63624          -1.35324          
52   64   -0.512157         -0.650593         -0.42876          -0.440168         -0.166132         0.949146          -1.808            -0.625            -1.509            -1.25             
52   66   -0.434078         -0.869799         -0.286555         -0.491217         -0.291621         0.881351          -1.87688          -0.32788          -1.41588          -1.18088          
52   68   -0.623227         -1.265671         -0.896496         -0.85512          -0.695192         0.585072          -1.97547          -0.33947          -1.55647          -1.26047          
52   70   -1.085011         -1.615863         -1.544455         -1.224659         -1.104629         0.127874          -1.8499           -0.3669           -1.9119           -1.2809           
52   72   -1.947635         -1.761858         -1.819701         -1.521065         -1.287003         -0.288556         -1.67254          -0.29254          -1.71554          -1.21654          
52   74   -2.940513         -1.701615         -2.080696         -1.795951         -1.16122          -0.406568         -1.25676          -0.19276          -1.67476          -0.97176          
52   76   -3.6654           -1.506037         -2.034986         -1.580731         -0.999074         -0.358218         -1.12362          0.07838           -1.38962          -0.45462          
52   78   -3.976662         -1.197959         -1.772154         -1.237186         -0.740012         -0.233256         -0.60275          0.69825           -0.81175          0.16525           
52   80   -3.894908         -0.907665         -1.330164         -0.844031         -0.437886         0.22716           0.07283           1.32983           -0.45917          0.83483           
52   82   -3.561369         -0.508126         -0.808691         -0.416677         -0.079325         0.793188          0.99474           2.06774           0.54274           1.61674           
52   84   -4.060624         -0.962621         -1.244649         -0.884825         -0.493539         0.232437          0.46764           1.84364           -0.23136          0.94164           
54   56   *                 -0.159759         -0.250788         -0.268118         -0.52229          0.221226          -0.11465          0.25235           -0.23665          0.03635           
54   58   -0.939506         -0.036126         0.152919          0.076781          -0.445977         0.664774          0.22749           0.56749           0.08849           0.45249           
54   60   -0.954424         -0.615454         -0.089078         -0.235013         -0.946643         0.425325          -0.10159          0.00341           -0.23659          0.14941           
54   62   -0.607194         -0.438153         0.302681          0.197131          -0.560451         0.77792           0.26488           -0.08612          0.11588           0.51388           
54   64   -0.860752         -0.540712         0.105163          0.115096          -0.563666         0.756461          -0.00306          -0.37706          -0.23506          0.24994           
54   66   -1.137489         -0.537748         0.016184          -0.027124         -0.603378         0.740713          -0.28635          -0.29635          -0.50235          -0.07835          
54   68   -1.228757         -0.46122          0.207547          -0.005353         -0.578006         0.818726          -0.40436          -0.22236          -0.69136          -0.25436          
54   70   -1.182261         -0.499396         0.081016          -0.086591         -0.683659         0.959674          -0.48402          -0.12302          -1.01902          -0.25602          
54   72   -1.26613          -0.746815         -0.415563         -0.375646         -1.091265         0.865914          -0.31793          0.16307           -0.85393          -0.19593          
54   74   -1.719127         -0.87601          -0.500708         -0.493084         -1.443246         0.616796          -0.1144           0.4006            -0.6964           -0.1244           
54   76   -2.257274         -0.877646         -0.484527         -0.769409         -1.496646         0.472721          -0.09456          0.46444           -0.75656          -0.16256          
54   78   -2.743648         -0.971319         -0.649813         -1.031433         -1.401763         0.421038          -0.10501          0.41699           -0.87801          0.03399           
54   80   -3.3989           -1.120603         -1.42005          -1.193476         -1.034906         -0.035844         0.12075           0.87075           -0.51225          0.66175           
54   82   -3.260371         -0.669581         -0.898327         -0.696092         -0.574878         0.484335          0.99041           1.54841           0.17241           1.41641           
