Z    N    S1n(MeV)          S1n_Err(MeV)      S1p(MeV)          S1p_Error(MeV)    Q4b(MeV)          Q4b_Error(MeV)    
18   22   9.86902           0.005             12.52866          0.00173           -26.18951         0.16              
18   23   6.09893           0.00035           12.79866          0.03207           -17.36997         0.02795           
18   24   9.42649           0.00579           14.40446          0.06897           -9.318            0.00578           
18   25   5.65845           0.00785           14.46701          0.05985           -2.68873          0.00898           
18   26   8.73476           0.00554           15.80272          0.06188           4.87531           0.00173           
18   27   5.16886           0.00166           16.67524          0.13632           9.23904           0.00099           
18   28   8.07345           0.00123           18.79935          0.13617           14.35487          0.00113           
18   29   3.66473           0.00158           18.79591          0.20866           19.57103          0.00112           
18   30   4.98632           0.3074            *                 *                 26.21137          0.30739           
19   16   *                 *                 0.08357           0.00052           *                 *                 
19   17   14.31549          0.00062           1.65875           0.00076           *                 *                 
19   18   15.45445          0.00035           1.85763           9e-05             *                 *                 
19   19   12.07187          0.00022           5.14206           0.00028           *                 *                 
19   20   13.07775          0.0002            6.38134           0.00019           *                 *                 
19   21   7.79962           6e-05             7.58227           0.005             *                 *                 
19   22   10.09537          6e-05             7.80862           0.0               *                 *                 
19   23   7.5338            0.00011           9.24349           0.00036           *                 *                 
19   24   9.62468           0.00042           9.44168           0.00579           -18.65903         0.04285           
19   25   7.27742           0.00059           11.06065          0.00533           -11.66511         0.18164           
19   26   8.90546           0.00067           11.23135          0.00167           -4.72962          0.00102           
19   27   6.8696            0.00089           12.9321           0.00089           1.66143           0.00075           
19   28   8.36937           0.00157           13.22802          0.00179           6.29464           0.00141           
19   29   4.64382           0.0016            14.20711          0.00136           12.19322          0.00124           
19   30   5.39833           0.00111           14.61912          0.30739           18.35044          0.00115           
19   31   4.18767           0.00777           *                 *                 23.49617          0.00774           
19   32   4.85967           0.01517           *                 *                 29.68765          0.01304           
19   33   2.69275           0.03598           *                 *                 34.30614          0.03354           
19   34   3.22941           0.1167            *                 *                 39.55534          0.11182           
20   16   *                 *                 2.56723           0.04              *                 *                 
20   17   14.75623          0.04001           3.00797           0.00072           *                 *                 
20   18   16.99375          0.00066           4.54727           0.00022           *                 *                 
20   19   13.29552          0.00063           5.77092           0.00063           *                 *                 
20   20   15.635            0.0006            8.32816           2e-05             *                 *                 
20   21   8.36282           0.00014           8.89137           0.00015           *                 *                 
20   22   11.48067          6e-05             10.27667          0.00015           *                 *                 
20   23   7.93289           0.00017           10.67577          0.00025           *                 *                 
20   24   11.13117          0.00023           12.18226          0.00052           *                 *                 
20   25   7.41482           0.00017           12.31965          0.00056           -21.29737         0.0354            
20   26   10.3985           0.00226           13.81269          0.0023            -13.66779         0.01167           
20   27   7.27637           0.00027           14.21946          0.00234           -7.78184          0.00643           
20   28   9.95153           0.00222           15.80162          0.0014            -1.40261          0.00732           
20   29   5.14645           0.00018           16.30426          0.0008            4.03329           0.00225           
20   30   6.36078           0.0016            17.2667           0.00177           10.67285          0.00164           
20   31   4.8144            0.00167           17.89343          0.00775           15.11909          0.00066           
20   32   6.00528           0.00085           19.03904          0.01306           21.15298          0.00075           
20   33   3.19276           0.04379           19.53905          0.05515           25.89929          0.04378           
20   34   3.8442            0.06529           20.15383          0.12182           31.77418          0.04844           
21   18   *                 *                 -0.59682          0.024             *                 *                 
21   19   14.42194          0.02417           0.5296            0.00289           *                 *                 
21   20   16.19039          0.00283           1.085             8e-05             *                 *                 
21   21   11.55006          0.00016           4.27223           0.0001            *                 *                 
21   22   12.13827          0.00186           4.92983           0.00186           *                 *                 
21   23   9.6992            0.00255           6.69613           0.00174           *                 *                 
21   24   11.32723          0.00188           6.89219           0.00073           *                 *                 
21   25   8.76064           0.0001            8.23802           0.00075           *                 *                 
21   26   10.64669          0.00204           8.4862            0.00121           -21.77022         0.03173           
21   27   8.23856           0.00531           9.44839           0.00542           -15.2075          0.00852           
21   28   10.12874          0.00564           9.62561           0.0027            -8.94063          0.00352           
21   29   6.05743           0.01524           10.53659          0.015             -1.91979          0.01501           
21   30   6.75262           0.025             10.92843          0.02006           5.01519           0.02001           
21   31   5.28591           0.08426           11.39995          0.08185           10.264            0.08187           
21   32   6.53485           0.12471           11.92951          0.09409           15.78331          0.09409           
21   33   3.05541           0.28857           11.79217          0.27629           21.66673          0.2728            
21   34   4.33977           0.52995           12.28774          0.45692           27.55306          0.45434           
21   35   2.76422           0.74217           *                 *                 32.05928          0.58684           
21   36   4.21493           1.43005           *                 *                 36.49038          1.30409           
22   18   *                 *                 1.96665           0.16179           *                 *                 
22   19   14.91847          0.16242           2.46317           0.02809           *                 *                 
22   20   17.47845          0.02795           3.75123           0.00027           *                 *                 
22   21   12.28773          0.00725           4.4889            0.00725           *                 *                 
22   22   16.2988           0.00728           8.64944           0.00199           *                 *                 
22   23   9.53259           0.0011            8.48283           0.00195           *                 *                 
22   24   13.18928          0.00083           10.34487          0.00066           *                 *                 
22   25   8.88088           0.00013           10.46512          0.00068           *                 *                 
22   26   11.62666          4e-05             11.44508          0.00193           *                 *                 
22   27   8.1424            3e-05             11.34892          0.00495           -23.81306         0.02422           
22   28   10.93919          4e-05             12.15937          0.0027            -16.9552          0.00838           
22   29   6.37249           0.00049           12.47443          0.01501           -9.53028          0.00898           
22   30   7.8083            0.00709           13.53011          0.02121           -1.13946          0.00873           
22   31   5.43256           0.1003            13.67675          0.12927           4.11647           0.10006           
22   32   6.86224           0.12965           14.00414          0.12511           10.63252          0.08246           
22   33   4.11742           0.18142           15.06616          0.31707           15.81321          0.1616            
22   34   5.72328           0.20203           16.44967          0.47024           21.28703          0.12125           
22   35   2.6669            0.28364           16.35234          0.64042           26.26621          0.25642           
23   20   *                 *                 0.10065           0.04285           *                 *                 
23   21   14.27134          0.18663           2.08427           0.18179           *                 *                 
23   22   15.84095          0.18164           1.62642           0.00112           *                 *                 
23   23   13.26065          0.00086           5.35448           0.00084           *                 *                 
23   24   13.00258          0.00011           5.16779           7e-05             *                 *                 
23   25   10.54239          0.00098           6.8293            0.00097           *                 *                 
23   26   11.55555          0.00127           6.75819           0.00082           *                 *                 
23   27   9.3334            0.00092           7.9492            0.00042           *                 *                 
23   28   11.05115          8e-05             8.06115           0.00042           -24.8617          0.04844           
23   29   7.31124           0.00013           8.9999            0.00066           -17.08282         0.00839           
23   30   8.47861           0.00315           9.67021           0.00773           -9.19163          0.00354           
23   31   6.11343           0.01532           10.35108          0.10117           -1.88322          0.01501           
23   32   7.32273           0.09628           10.81158          0.12588           4.8853            0.0951            
23   33   5.08161           0.20084           11.77576          0.2396            9.88552           0.1769            
23   34   6.32989           0.19434           12.38237          0.14553           14.93211          0.08048           
23   35   4.05962           0.12027           13.77509          0.27155           19.44541          0.08938           
23   36   5.50158           0.18491           *                 *                 24.39769          0.16187           
23   37   3.48126           0.27326           *                 *                 28.40835          0.22016           
23   38   5.33579           0.92094           *                 *                 32.39164          0.89423           
24   21   *                 *                 2.68739           0.18506           *                 *                 
24   22   18.02808          0.0372            4.87452           0.01149           *                 *                 
24   23   13.16233          0.01294           4.7762            0.00603           *                 *                 
24   24   16.33076          0.00948           8.10437           0.00733           *                 *                 
24   25   10.58236          0.00763           8.14434           0.00245           *                 *                 
24   26   13.00033          0.0022            9.58911           0.00094           *                 *                 
24   27   9.26064           0.0002            9.51635           0.00023           *                 *                 
24   28   12.03916          0.00051           10.50437          0.00052           *                 *                 
24   29   7.93907           0.00014           11.1322           0.00054           -25.65617         0.02515           
24   30   9.71908           0.00012           12.37267          0.0031            -17.65646         0.00467           
24   31   6.24626           0.00019           12.50551          0.015             -9.77386          0.00076           
24   32   8.24661           0.00065           13.42939          0.09511           -1.37746          0.00061           
24   33   5.31102           0.00123           13.65879          0.1769            3.55913           0.00122           
24   34   7.53842           0.00183           14.86732          0.08049           8.23694           0.00154           
24   35   4.16528           0.21637           14.97298          0.2341            13.07095          0.21637           
24   36   6.65513           0.29033           16.12653          0.25235           17.80354          0.19359           
24   37   3.87697           0.21851           16.52224          0.24236           21.74668          0.10134           
24   38   6.49105           0.17945           17.6775           0.90642           25.85136          0.1481            
24   39   3.18383           0.38749           *                 *                 29.5053           0.35807           
24   40   5.5436            0.56703           *                 *                 33.61916          0.43967           
