Z, N, experiment, who missed, value
22,23,2016,Erik,385.007818
61,72,2016,Erik,1091.17061
103,152,2016,Erik,1887.65846
51,78,2016,Erik,1085.93033
34,42,2016,Erik,662.072787
52,64,2016,Erik,980.860519
37,47,2016,Erik,728.803345
42,58,2016,Erik,860.466827
67,78,2016,Erik,1167.044886
55,74,2016,Erik,1085.670937
84,125,2016,Erik,1637.555557
50,61,2016,Erik,942.738221
87,128,2016,Erik,1666.952308
57,85,2016,Erik,1181.558385
58,77,2016,Erik,1128.86877
46,49,2016,Erik,800.75378
68,102,2016,Erik,1379.034076
72,97,2016,Erik,1362.441634
19,17,2016,Erik,293.120181
94,136,2016,Erik,1745.929418
62,81,2016,Erik,1185.210962
51,87,2016,Erik,1128.163287
34,37,2016,Erik,609.610754
17,27,2016,Erik,362.222849
52,79,2016,Erik,1101.872338
37,40,2016,Erik,657.375647
76,117,2016,Erik,1531.701332
10,10,2016,Erik,160.644958
85,129,2016,Erik,1664.143552
55,67,2016,Erik,1019.817225
38,57,2016,Erik,812.166095
85,114,2016,Erik,1548.517325
50,52,2016,Erik,849.092657
89,119,2016,Erik,1598.453246
1,3,2016,Erik,6.881812
57,94,2016,Erik,1227.486352
58,84,2016,Erik,1185.285013
96,143,2016,Erik,1802.79398
4,8,2016,Erik,68.648723
46,56,2016,Erik,875.190276
72,104,2016,Erik,1418.800292
19,22,2016,Erik,351.619249
22,33,2016,Erik,468.379245
61,90,2016,Erik,1244.43275
62,88,2016,Erik,1239.244175
