Z,N,2003,2003_sd,2016,2016_sd,2017,2017_sd,SKM*,SKP,SLY4,SVMIN,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
25,27,10.53542,0.00204,10.53472,0.0019,*,*,10.645732,10.116521,9.941994,10.11621,10.752475,10.379079,10.434196,10.62,9.98
25,29,8.93878,0.00106,8.93883,0.00106,*,*,8.557835,8.864302,8.136225,8.522971,9.100373,8.555092,8.388674,8.32,8.6
25,31,7.27045,0.00013,7.27044,0.00013,*,*,7.500431,7.562178,6.800318,7.068146,7.524519,7.245325,7.016446,7.48,7.02
25,33,6.49134,0.03006,6.41263,0.00309,*,*,5.657285,6.06257,5.65939,5.86005,5.908651,5.970964,5.50742,6.17,6.22
25,35,5.76959,0.09115,5.51393,0.00329,*,*,5.024062,5.138063,4.792911,5.067371,5.254626,4.986788,4.547522,5.23,5.14
25,37,4.55439,0.31892,4.85315,0.00694,*,*,4.820462,4.496437,4.58534,4.693118,4.836059,4.57222,4.17615,4.5,4.46
25,39,4.33686,0.37134,4.1733,0.00514,*,*,4.467524,3.748945,3.976997,4.01713,4.186953,3.978116,3.946818,4.29,4.02
25,41,*,*,3.85437,0.01178,*,*,4.022445,2.954002,2.734789,3.062767,3.26751,3.006307,2.873454,3.39,3.69
25,43,*,*,*,*,*,*,3.555919,2.656969,2.306772,2.643851,2.818123,2.899812,2.773354,2.96,2.61
25,45,*,*,*,*,*,*,3.120864,2.243608,2.481252,2.484771,2.636905,2.271733,2.244771,2.81,2.32
25,47,*,*,*,*,*,*,2.618111,1.515571,1.380304,1.644883,1.863012,1.612412,1.517928,2.32,1.76
25,49,*,*,*,*,*,*,2.173246,0.934949,1.015561,1.040556,1.265995,1.034425,1.039537,2.2,1.32
25,51,*,*,*,*,*,*,1.091665,0.418209,*,0.511891,0.80555,0.606642,0.527325,0.19,1.1
25,53,*,*,*,*,*,*,0.819393,*,*,0.14656,0.494017,0.371978,0.348641,*,*
25,55,*,*,*,*,*,*,0.486029,*,*,0.089397,0.378438,0.321718,0.395095,*,*
25,57,*,*,*,*,*,*,0.119257,*,*,*,0.199551,0.19365,*,*,*
27,3,*,*,*,*,*,*,23.924414,24.994402,25.126304,24.040532,24.590159,24.326163,*,*,*
27,5,*,*,*,*,*,*,28.134053,28.840708,29.156201,27.604702,28.339923,27.981995,*,*,*
27,7,*,*,*,*,*,*,26.578783,27.810272,28.068457,26.669774,26.760065,27.261985,*,*,*
27,9,*,*,*,*,*,*,24.605877,24.666607,24.908497,23.669884,24.295521,23.468137,*,*,*
27,11,*,*,*,*,*,*,25.399787,25.710813,26.099863,24.995172,25.549944,25.262068,*,*,*
27,13,*,*,*,*,*,*,23.31886,24.039759,24.129156,23.620139,24.520476,24.201088,*,*,*
27,15,*,*,*,*,*,*,21.072937,22.028175,21.912952,21.691988,22.268166,22.388013,*,*,*
27,17,*,*,*,*,*,*,19.27349,20.05073,19.979642,19.807388,20.110104,20.825508,20.752242,*,*
27,19,*,*,*,*,*,*,18.194585,18.587632,18.837494,18.564565,18.798036,19.515101,19.553182,19.11,19.46
27,21,*,*,*,*,*,*,15.179076,15.235979,15.215428,15.564502,16.028815,16.086759,15.573013,17.19,17.68
27,23,*,*,*,*,*,*,14.878263,14.704666,14.71548,14.842451,15.270817,15.558397,15.291069,15.74,14.85
27,25,*,*,15.09012,0.04916,*,*,13.761996,13.15074,13.293484,13.369284,13.891258,13.854518,13.701841,14.3,13.6
27,27,13.43603,0.01801,13.42184,0.00167,*,*,12.492257,11.759251,11.820446,11.910389,12.543783,12.287591,12.394933,12.75,11.96
27,29,10.08311,0.00205,10.08184,0.00046,*,*,9.784604,10.358883,9.476731,9.9425,10.493758,9.974566,9.783462,9.86,10.0
27,31,8.57298,0.00118,8.57291,0.00118,*,*,8.713035,8.891034,8.219823,8.391376,8.858316,8.617243,8.320854,8.46,8.3
27,33,7.49192,7e-05,7.49192,7e-05,*,*,6.88389,7.403844,7.076502,7.264576,7.245031,7.395276,6.884147,7.35,7.22
27,35,6.6044,0.02001,6.59753,0.01858,*,*,6.23049,6.511592,6.254949,6.394241,6.586703,6.446736,6.084566,6.89,6.08
27,37,6.02362,0.02828,6.01221,0.02729,*,*,5.843706,5.861391,5.911656,5.963904,6.12102,5.850389,5.581735,6.01,5.83
27,39,5.01272,0.25244,5.29465,0.01413,*,*,5.526625,5.082786,5.332758,5.276197,5.469573,5.300881,5.366287,5.33,5.24
27,41,4.36068,0.45009,4.68021,0.18961,*,*,5.067408,4.217514,4.03299,4.337766,4.558201,4.232109,3.927132,4.55,4.81
27,43,3.71193,0.90292,*,*,*,*,4.666844,3.629509,3.443431,3.692156,3.903696,3.833797,3.807608,4.11,3.85
27,45,*,*,*,*,*,*,4.351638,3.366954,3.45893,3.537467,3.648577,3.446815,3.473148,3.47,3.36
27,47,*,*,*,*,*,*,4.012863,2.719528,2.858391,2.913779,2.992313,2.755208,2.773839,3.46,2.75
27,49,*,*,*,*,*,*,3.41574,2.04032,2.311076,2.16232,2.294824,2.130398,2.294972,3.06,2.49
27,51,*,*,*,*,*,*,1.665475,1.380898,0.422488,1.309797,1.688109,1.398986,1.161067,1.02,2.5
27,53,*,*,*,*,*,*,1.533677,0.856995,0.264881,0.888109,1.28591,1.10698,1.024763,0.36,0.58
27,55,*,*,*,*,*,*,1.200404,0.544294,*,0.717153,1.072671,0.968059,0.99558,*,0.01
27,57,*,*,*,*,*,*,0.575866,*,*,0.238413,0.728346,0.635403,0.242398,*,*
27,59,*,*,*,*,*,*,*,*,*,*,0.30568,0.088987,*,*,*
29,7,*,*,*,*,*,*,27.201744,28.216413,28.465137,27.060546,27.25198,27.640381,*,*,*
29,9,*,*,*,*,*,*,25.242615,25.415753,25.66132,24.611138,25.102307,24.427033,*,*,*
29,11,*,*,*,*,*,*,26.171954,26.447831,26.878963,25.667323,26.21326,25.856029,*,*,*
29,13,*,*,*,*,*,*,24.956976,25.511953,25.570213,24.945135,25.834853,25.351347,*,*,*
29,15,*,*,*,*,*,*,22.303639,23.379583,23.214339,22.897421,23.516698,23.481948,*,*,*
29,17,*,*,*,*,*,*,20.882807,21.662182,21.626901,21.355443,21.668135,22.313853,*,*,*
29,19,*,*,*,*,*,*,19.619843,20.148409,20.377571,20.069183,20.284991,21.084557,*,*,*
29,21,*,*,*,*,*,*,16.473968,16.679135,16.691409,16.986318,17.459131,17.42858,16.874154,18.39,18.89
29,23,*,*,*,*,*,*,15.860204,15.843209,15.920422,15.986116,16.53956,16.778962,16.498926,16.94,16.49
29,25,*,*,*,*,*,*,15.206454,14.702767,14.89358,14.933638,15.456702,15.483569,15.270615,15.8,14.6
29,27,*,*,15.07895,0.15627,*,*,14.121253,13.360247,13.449211,13.564973,14.155192,14.012231,14.186309,14.6,14.44
29,29,12.4238,0.01571,12.43016,0.00063,*,*,11.068112,11.766215,10.740536,11.3747,11.963451,11.481104,11.243654,11.83,12.45
29,31,10.05819,0.00165,10.05813,0.00162,*,*,9.966351,10.189758,9.636939,9.744125,10.26724,9.999996,9.720728,9.81,9.38
