Z,N,2003,2003_sd,2016,2016_sd,2017,2017_sd,SKM*,SKP,SLY4,SVMIN,UNEDF0,UNEDF1,UNEDF2,FRDM2012,HFB24
21,6,*,*,*,*,*,*,59.966299,61.20302,62.855213,59.019301,59.580799,58.624448,*,*,*
21,8,*,*,*,*,*,*,55.755652,58.457975,60.103876,56.76635,55.555771,57.21898,*,*,*
21,10,*,*,*,*,*,*,46.366916,47.828134,48.585551,46.790301,46.963168,46.911884,*,*,*
21,12,*,*,*,*,*,*,45.159306,46.068255,47.08335,45.83821,46.158134,46.766091,*,*,*
21,14,*,*,*,*,*,*,41.669259,42.648782,43.326005,42.708607,43.280403,43.935101,19.003944,43.9,38.99
21,16,*,*,*,*,*,*,36.279367,37.717099,37.349717,37.526489,37.2456,38.564684,17.322876,38.13,45.13
21,18,*,*,*,*,*,*,31.088043,32.838978,33.124213,32.799414,31.684083,33.914518,17.049351,34.29,34.81
21,20,30.617,0.024,30.61234,0.024,*,*,28.106329,28.813617,29.642799,29.11508,28.376785,30.250109,17.907101,30.55,31.15
21,22,23.68817,0.00186,23.68832,0.00186,*,*,23.515915,23.260287,23.029139,23.320461,23.487,23.181555,16.050705,24.99,24.99
21,24,21.0225,0.00203,21.02643,0.00198,*,*,21.845751,20.863973,20.77441,20.957358,21.165184,20.938073,17.496812,21.13,20.22
21,26,19.40696,0.00199,19.40733,0.00204,*,*,20.944281,19.275946,19.656388,19.411254,19.482437,19.232716,18.584353,18.76,19.04
21,28,18.36288,0.00411,18.3673,0.00332,*,*,19.025955,17.340824,17.452286,17.268109,17.357977,17.06585,19.244924,16.52,17.6
21,30,12.80845,0.02021,12.81005,0.02018,*,*,14.901958,15.167993,13.417667,14.464495,14.732595,13.989962,18.900932,12.49,13.52
21,32,*,*,11.82076,0.09619,*,*,12.520206,12.501535,11.129556,11.612622,11.867482,11.277295,18.731338,9.88,11.25
21,34,*,*,7.39518,0.46398,*,*,8.96626,9.446611,8.637421,8.939726,8.764509,8.276234,17.743453,8.59,9.06
21,36,*,*,6.97916,1.38097,*,*,7.199811,7.479959,7.140408,7.495583,7.311253,6.766521,18.471068,7.43,7.4
21,38,*,*,*,*,*,*,6.56553,6.32495,6.581748,6.734507,6.593432,6.007003,19.857349,6.55,6.31
21,40,*,*,*,*,*,*,6.028128,5.057673,5.402555,5.473356,5.398173,4.760505,20.963415,5.51,5.15
21,42,*,*,*,*,*,*,5.346244,3.664388,3.045515,3.544033,3.467449,2.712397,21.103414,4.08,3.92
21,44,*,*,*,*,*,*,4.832189,2.631719,1.857036,2.430649,2.315778,2.023971,22.433427,3.1,2.93
21,46,*,*,*,*,*,*,4.629655,2.100494,1.59002,2.181906,2.212007,1.717366,23.791058,2.49,2.32
21,48,*,*,*,*,*,*,3.872155,1.387123,1.314014,1.461329,1.571492,1.218219,24.538247,2.03,1.53
21,50,*,*,*,*,*,*,2.99699,0.701904,0.338892,0.837211,0.946677,0.704904,25.04213,1.17,0.57
21,52,*,*,*,*,*,*,1.651534,0.191798,*,0.429811,0.647708,0.463891,25.59389,*,0.16
21,54,*,*,*,*,*,*,0.992063,*,*,0.148378,0.445944,0.497355,25.91067,*,*
21,56,*,*,*,*,*,*,0.929771,*,*,0.032145,0.340113,0.393388,26.326758,*,*
21,58,*,*,*,*,*,*,0.170458,*,*,*,0.017431,0.154821,26.314089,*,*
23,4,*,*,*,*,*,*,54.058387,55.277713,57.577765,53.304832,53.50485,52.454984,*,*,*
23,6,*,*,*,*,*,*,60.106078,61.348572,63.084066,59.216986,59.742856,58.865209,*,*,*
23,8,*,*,*,*,*,*,56.382101,59.129615,60.791795,57.323447,56.136518,57.757903,*,*,*
23,10,*,*,*,*,*,*,49.570784,50.077704,50.85442,48.453629,48.781047,48.148541,*,*,*
23,12,*,*,*,*,*,*,48.581789,49.411809,50.71427,49.009237,49.219985,49.625844,*,*,*
23,14,*,*,*,*,*,*,43.793385,45.362729,46.190226,45.274627,45.812262,46.036279,19.253271,*,*
23,16,*,*,*,*,*,*,39.538194,41.092281,41.068857,40.963334,40.674807,42.168702,18.53774,41.69,43.31
23,18,*,*,*,*,*,*,34.632763,36.60642,36.692102,36.437301,35.780305,37.552741,17.854287,37.52,38.41
23,20,*,*,*,*,*,*,31.965063,32.80251,33.753094,33.175805,32.521868,34.586615,18.311166,34.56,34.72
23,22,*,*,30.11229,0.04286,*,*,26.797006,26.731965,26.733859,27.107171,27.27555,27.240248,16.483292,30.12,30.83
23,24,26.26506,0.01703,26.26324,0.00086,*,*,26.062607,25.000097,25.444809,25.401468,25.312822,25.795262,18.30046,25.6,25.95
23,26,22.09753,0.00087,22.09795,0.00083,*,*,23.852303,22.576348,22.899296,22.797108,22.998758,22.730075,18.720865,22.27,21.42
23,28,20.38707,0.00128,20.38455,0.00092,*,*,21.480185,20.168184,20.227204,20.145876,20.473141,20.022674,18.99302,20.0,19.79
23,30,15.79009,0.00325,15.78985,0.00314,*,*,17.190708,17.737393,16.303114,17.049829,17.424401,16.502682,18.142573,15.23,16.3
23,32,13.44529,0.10005,13.43616,0.09515,*,*,14.84556,15.097095,13.718327,14.083222,14.326596,13.674706,17.897234,12.62,13.68
23,34,11.17988,0.25353,11.4115,0.12459,*,*,11.278809,12.089389,11.345313,11.499203,11.20578,11.003546,17.615102,11.46,11.77
23,36,9.02045,0.38569,9.5612,0.18078,*,*,9.844276,10.230793,9.777676,10.163155,9.88416,9.39302,18.557378,10.29,9.8
23,38,*,*,8.81705,0.90877,*,*,9.575694,9.060962,9.342035,9.378953,9.148557,8.690088,19.681818,8.94,8.82
23,40,*,*,*,*,*,*,8.765068,7.646367,8.129286,8.108242,7.901185,7.423393,20.516885,8.04,7.54
23,42,*,*,*,*,*,*,7.95759,6.175259,5.633454,6.132426,5.995454,5.466983,20.983037,6.59,7.1
23,44,*,*,*,*,*,*,7.17851,5.578835,4.649237,5.34707,5.085251,5.146467,22.399953,5.68,5.77
23,46,*,*,*,*,*,*,6.684574,4.665036,4.59508,4.892116,4.845705,4.176331,23.131123,4.81,4.41
23,48,*,*,*,*,*,*,5.622841,3.559462,3.306787,3.560724,3.564716,3.053768,23.581152,3.87,3.23
23,50,*,*,*,*,*,*,4.702656,2.505692,2.293686,2.473328,2.552092,2.106637,24.005449,3.43,2.02
23,52,*,*,*,*,*,*,3.029262,1.659966,0.261398,1.662045,1.81665,1.434502,24.45904,0.11,1.64
23,54,*,*,*,*,*,*,2.060303,0.998727,*,1.062853,1.439708,1.286082,24.693451,*,0.75
23,56,*,*,*,*,*,*,1.713812,0.680265,*,0.969915,1.253051,1.137126,25.144944,*,*
23,58,*,*,*,*,*,*,1.049367,*,*,0.40563,0.944579,1.006638,25.1148,*,*
23,60,*,*,*,*,*,*,*,*,*,*,0.381255,0.174467,24.608757,*,*
23,62,*,*,*,*,*,*,*,*,*,*,*,*,24.312519,*,*
23,64,*,*,*,*,*,*,*,*,*,*,*,*,23.6666,*,*
25,4,*,*,*,*,*,*,54.282226,55.846894,57.924904,54.289307,54.22054,53.853679,*,*,*
25,6,*,*,*,*,*,*,60.219218,61.438564,63.288866,59.410559,59.898817,59.220188,*,*,*
25,8,*,*,*,*,*,*,56.843685,59.470282,61.113807,57.594358,56.524483,58.126619,*,*,*
25,10,*,*,*,*,*,*,51.712687,51.902894,53.103544,50.122515,50.360591,49.17029,*,*,*
25,12,*,*,*,*,*,*,51.46317,52.301807,53.750994,51.534954,51.715138,51.732435,*,*,*
25,14,*,*,*,*,*,*,46.65802,48.043029,48.890427,47.762432,48.217753,48.474057,*,*,*
25,16,*,*,*,*,*,*,42.648266,44.127287,44.531551,44.030404,43.67795,45.243176,19.064172,*,*
25,18,*,*,*,*,*,*,37.825919,39.834745,39.828383,39.549279,39.28973,40.665545,18.195289,41.0,41.46
25,20,*,*,*,*,*,*,35.718872,36.618516,37.665825,36.949156,36.413275,38.40442,19.071665,37.69,37.98
25,22,*,*,*,*,*,*,29.987258,30.08355,30.302846,30.746523,30.899597,31.191933,17.031241,33.5,34.05
25,24,*,*,31.19689,0.03175,*,*,29.922126,29.049552,29.761483,29.556504,29.329836,30.196004,18.211021,30.38,31.32
25,26,26.76839,0.02402,26.76588,0.00223,*,*,26.73277,25.751181,26.092062,26.06719,26.374869,26.213978,18.092805,26.5,26.8
25,28,22.5892,0.00101,22.58887,0.00066,*,*,23.993373,22.925756,22.986342,23.042967,23.636908,23.000727,18.515984,23.33,22.06
25,30,19.16531,0.00047,19.16493,0.00043,*,*,19.542749,20.358613,19.260926,19.682962,20.136101,19.130142,17.950975,17.92,19.03
25,32,15.91885,0.00191,15.91647,0.00152,*,*,17.185682,17.711966,16.363586,16.618805,16.853041,16.333857,17.826323,16.18,16.37
25,34,14.1354,0.03006,14.1817,0.00277,*,*,13.713775,14.757751,14.098103,14.284961,13.796598,13.955067,17.780869,14.19,14.63
25,36,12.21881,0.22988,12.35944,0.00329,*,*,12.489782,12.957309,12.3947,12.737899,12.529323,12.038377,18.247311,12.59,12.94
25,38,10.93805,0.34451,11.28757,0.00439,*,*,12.151082,11.731673,12.003238,12.029799,11.731278,11.248835,19.256126,11.36,11.56
25,40,10.46418,0.59564,10.22292,0.00527,*,*,11.42983,10.272755,10.825217,10.705322,10.445246,10.0948,20.476856,10.45,10.44
25,42,*,*,*,*,*,*,10.519189,8.674328,8.211309,8.727403,8.542111,8.082382,20.549798,8.96,9.22
25,44,*,*,*,*,*,*,9.559022,8.059587,7.19201,7.791098,7.577957,7.783504,21.401807,7.8,8.01
25,46,*,*,*,*,*,*,8.636083,7.2044,7.511592,7.426073,7.212504,6.486896,22.095858,6.97,6.93
25,48,*,*,*,*,*,*,7.573143,5.693452,5.26142,5.670201,5.63187,5.082473,22.518921,6.37,5.55
25,50,*,*,*,*,*,*,6.704854,4.485102,4.589601,4.388017,4.381096,3.838013,23.18112,5.53,4.12
25,52,*,*,*,*,*,*,4.269025,3.412832,1.623734,3.210413,3.407442,2.906459,23.514689,1.85,3.38
25,54,*,*,*,*,*,*,3.358166,2.405452,0.973865,2.271497,2.68842,2.324415,23.814903,0.46,1.07
25,56,*,*,*,*,*,*,2.647676,1.946362,0.299948,2.031513,2.33699,2.111625,24.429511,*,0.79
25,58,*,*,*,*,*,*,1.984727,1.013563,*,1.351924,1.898193,1.813142,24.478352,*,0.0
25,60,*,*,*,*,*,*,0.56399,*,*,0.413486,1.227837,0.866557,23.884298,*,*
